FaunaID,TituloID
0,3
1,9
2,9
3,10
4,10
5,10
6,10
7,10
8,10
9,10
10,10
11,10
0,11
12,11
13,15
13,20
14,25
15,25
0,29
16,29
17,29
7,29
18,29
19,32
20,32
21,32
22,32
2,32
13,32
23,32
13,35
5,36
0,37
24,37
25,37
26,37
13,41
15,41
0,49
27,49
28,49
29,49
30,49
31,49
32,49
33,49
34,58
2,59
15,67
19,74
35,76
36,76
0,76
37,76
14,76
38,76
39,76
40,76
4,76
41,76
5,76
42,76
43,76
44,76
45,76
46,76
47,76
48,76
49,76
8,76
10,76
50,76
51,76
52,76
15,76
53,76
54,76
55,76
56,76
57,76
58,76
59,76
23,76
60,76
61,85
0,85
4,85
5,85
62,85
55,85
63,87
0,88
7,92
15,92
22,101
13,105
64,108
65,119
2,122
13,123
63,126
66,128
0,130
0,140
12,140
67,140
13,147
0,151
28,151
68,151
69,151
25,151
15,152
70,155
0,167
13,168
13,170
15,170
71,171
36,171
0,171
72,171
73,171
74,171
14,171
38,171
75,171
76,171
77,171
39,171
78,171
40,171
79,171
3,171
4,171
5,171
80,171
81,171
82,171
44,171
83,171
20,171
21,171
84,171
48,171
85,171
49,171
86,171
87,171
88,171
10,171
89,171
53,171
55,171
57,171
58,171
63,174
1,178
15,178
0,179
90,179
91,179
92,179
13,181
13,182
23,182
0,187
93,187
94,187
95,187
14,190
65,190
15,190
10,191
15,191
46,197
15,197
49,198
96,199
65,210
20,210
21,210
0,212
97,212
0,220
13,221
14,226
3,226
20,226
21,226
6,226
98,226
15,226
99,226
96,226
0,229
100,229
7,231
13,231
15,233
14,234
84,235
15,235
96,235
46,240
14,246
13,247
19,252
22,252
14,253
14,258
0,265
74,265
101,265
28,265
77,265
39,265
78,265
40,265
3,265
4,265
5,265
42,265
20,265
22,265
1,265
87,265
102,265
89,265
13,265
52,265
55,265
103,265
104,265
105,265
13,273
10,275
0,276
93,276
60,276
0,285
106,285
107,285
108,285
0,286
109,286
106,286
110,286
108,286
0,287
93,287
76,288
3,288
65,288
111,288
46,288
84,288
7,288
51,288
52,288
112,288
13,290
113,293
13,295
0,302
114,302
115,302
116,302
117,302
118,302
119,302
120,302
66,303
121,315
86,316
2,317
122,322
123,322
0,322
124,322
125,322
126,322
105,322
97,322
127,322
13,331
14,334
128,335
0,336
129,336
130,336
25,336
26,336
131,336
132,336
126,336
14,337
0,338
133,338
13,341
78,345
134,345
4,345
6,345
7,345
135,345
13,345
52,345
15,345
7,346
123,350
0,350
69,350
117,350
136,350
93,350
137,350
71,352
36,352
0,352
72,352
73,352
74,352
14,352
38,352
75,352
77,352
39,352
78,352
40,352
79,352
3,352
4,352
5,352
80,352
81,352
82,352
44,352
83,352
20,352
21,352
48,352
85,352
49,352
86,352
87,352
88,352
10,352
89,352
53,352
57,352
58,352
0,355
15,358
13,364
14,367
104,372
14,375
7,383
13,384
13,386
47,389
66,389
52,389
15,389
3,390
0,397
138,397
93,397
139,397
140,398
14,403
3,406
3,408
2,408
141,408
111,414
0,417
105,417
0,418
142,418
74,418
3,418
65,418
5,418
42,418
46,418
20,418
143,418
49,418
10,418
52,418
144,418
57,418
145,420
0,420
115,420
93,420
25,420
146,420
95,420
147,420
7,423
2,423
148,423
2,427
13,429
46,430
14,431
66,431
149,431
10,431
13,431
15,431
0,433
150,433
15,439
151,446
0,446
109,446
152,446
153,446
154,446
93,446
0,451
19,452
22,452
0,453
155,453
14,454
46,454
15,454
13,464
0,470
109,470
156,470
95,470
60,470
157,471
0,471
158,471
159,471
93,471
118,471
120,471
97,471
60,471
0,476
160,476
107,476
161,476
0,478
109,478
162,478
136,478
60,478
15,479
0,484
163,484
78,484
164,484
68,484
165,484
69,484
6,484
7,484
166,484
30,484
25,484
133,484
167,484
26,484
131,484
105,484
168,484
84,490
38,496
0,497
169,497
28,497
70,497
78,497
3,497
170,497
4,497
171,497
5,497
68,497
165,497
69,497
49,497
6,497
7,497
172,497
86,497
135,497
30,497
25,497
87,497
10,497
31,497
173,497
174,497
168,497
175,497
122,499
0,499
160,499
176,499
0,501
2,504
2,505
63,516
0,522
60,522
177,523
13,523
52,523
15,523
13,527
0,530
106,530
158,530
60,530
2,533
0,538
106,538
136,538
133,538
120,538
60,538
13,539
13,540
178,547
179,547
36,547
0,547
14,547
38,547
180,547
181,547
78,547
182,547
183,547
65,547
5,547
184,547
185,547
186,547
80,547
7,547
136,547
87,547
88,547
95,547
187,547
52,547
148,547
55,547
188,547
96,547
13,549
3,550
13,562
0,563
189,563
130,563
31,563
26,563
33,563
5,564
190,567
191,567
192,567
123,567
0,567
193,567
194,567
195,567
196,567
197,567
198,567
115,567
199,567
189,567
200,567
30,567
25,567
110,567
201,567
31,567
202,567
203,567
204,567
131,567
205,567
206,569
22,569
2,569
13,569
3,571
0,574
40,574
84,574
207,574
51,574
15,574
96,574
15,575
14,578
14,580
0,581
208,581
156,581
133,581
15,585
0,586
106,586
13,588
0,591
14,591
209,591
15,591
2,593
5,594
13,600
0,603
106,603
95,603
60,603
13,606
14,608
15,608
0,611
152,611
25,611
202,611
22,619
210,619
211,620
79,620
212,620
82,620
87,620
144,620
148,620
213,620
0,621
214,621
100,621
31,621
13,622
15,626
14,628
5,629
46,629
98,629
96,629
13,639
215,640
0,640
216,640
217,640
93,640
108,640
60,640
0,645
7,646
61,653
78,653
87,653
144,653
218,653
