ObjetosID,Objetos,TituloID
2,Instrumentos de cuerda / cordófonos,608
124,Instrumentos de percusión / membranófonos,608
50,Instrumentos de viento / aerófonos,608
3,Instrumentos musicales,608
61,Redoma,608
92,Transporte,608
200,Transporte marítimo / fluvial,608
55,Vino,608
24,Cestería,610
0,Enseres domésticos,610
103,Indumentaria / vestido,610
107,Textil,610
152,Trajes regionales,610
92,Transporte,610
93,Transporte terrestre,610
31,Joyas,613
29,Objeto uso individual,613
85,Carruajes,619
10,Orbe / esfera,619
140,Reloj,619
201,Reloj de arena,619
92,Transporte,619
93,Transporte terrestre,619
8,Objetos de iconografía cristiana,622
9,Objetos o atributos mariológicos,622
5,Libro,623
31,Joyas,624
29,Objeto uso individual,624
47,Alimentos,625
0,Enseres domésticos,625
87,Frutero,625
21,Objeto de adorno o servicio de mesa,625
72,Pan,625
144,Plato,625
202,Taza,625
0,Enseres domésticos,626
21,Objeto de adorno o servicio de mesa,626
52,Recipiente,626
140,Reloj,626
47,Alimentos,629
24,Cestería,629
203,Embutidos / fiambres,629
0,Enseres domésticos,629
14,Mesa,629
15,Mueble,629
204,Anillo,633
0,Enseres domésticos,633
87,Frutero,633
31,Joyas,633
21,Objeto de adorno o servicio de mesa,633
29,Objeto uso individual,633
67,Abanico,636
0,Enseres domésticos,636
1,Florero,636
29,Objeto uso individual,636
38,Corona,637
183,Corona de flores,637
29,Objeto uso individual,637
19,Armas,638
165,Bandera,638
35,Crucifijo,638
20,Espada,638
8,Objetos de iconografía cristiana,638
92,Transporte,638
200,Transporte marítimo / fluvial,638
0,Enseres domésticos,639
1,Florero,639
5,Libro,639
22,Botella,641
33,Calavera / cráneo,641
0,Enseres domésticos,641
5,Libro,641
61,Redoma,641
31,Joyas,642
29,Objeto uso individual,642
0,Enseres domésticos,644
21,Objeto de adorno o servicio de mesa,644
73,Cesta / canasta,646
24,Cestería,646
56,Cuenco,646
0,Enseres domésticos,646
87,Frutero,646
21,Objeto de adorno o servicio de mesa,646
52,Recipiente,646
64,Objeto o atributo de santos y mártires,649
8,Objetos de iconografía cristiana,649
9,Objetos o atributos mariológicos,649
65,Palma,649
31,Joyas,651
29,Objeto uso individual,651
5,Libro,652
8,Objetos de iconografía cristiana,652
32,Rosario,652
47,Alimentos,654
73,Cesta / canasta,654
24,Cestería,654
74,Dados,654
0,Enseres domésticos,654
75,Juego / juguete,654
29,Objeto uso individual,654
72,Pan,654
30,Sombrero,654
