FaunaID,Fauna,TituloID
87,Martín pescador (Alcedo atthis),620
144,Perdiz pardilla (Perdix perdix),620
148,Petirrojo (Erithacus rubecula),620
213,Zorzal alirrojo ( Turdus iliacus),620
0,Artrópodos (Filo: Arthropoda),621
214,Avispa (Enicospilus sp.),621
100,Macaón (Papilio machaon),621
31,Mosca (Scaeva pyrastri),621
13,Paloma (Columba ssp),622
15,Perro (Canis lupus familiaris),626
14,Caballo (Equus ferus caballus),628
5,Conejo (Oryctolagus cuniculus),629
46,Gallo / gallina (Gallus gallus),629
98,Perdiz roja (Alectoris rufa),629
96,Ánade real /Azulón (Anas platyrhynchos),629
13,Paloma (Columba ssp),639
215,Abejorro (Bombus terrestris),640
0,Artrópodos (Filo: Arthropoda),640
216,Blanca del espino (Aporia crataegi),640
217,Espejitos / Sofía (Issoria lathonia),640
93,Mariposa de la col (Pieris brassicae),640
108,Ondulada / maculada (Pararge aegeria),640
60,Vulcana / atalanta /numerada (Vanessa atalanta),640
0,Artrópodos (Filo: Arthropoda),645
7,Jilguero (Carduelis carduelis),646
61,Amazona frentiazul ( Amazona aestiva),653
78,Carbonero común (Parus major),653
87,Martín pescador (Alcedo atthis),653
144,Perdiz pardilla (Perdix perdix),653
218,Zorzal real (Turdus pilaris),653
