FaunaID,Fauna,TituloID
87,Martín pescador (Alcedo atthis),171
88,Mochuelo común (Athene noctua),171
10,Mono (Primates),171
89,Negrón careto ( Melanitta perspicillata),171
53,Picogordo (Coccothraustes coccothraustes),171
55,Pito real (Picus viridis),171
57,Porrón moñudo (Aythya fuligula),171
58,Porrón osculado (Bucephala clangula),171
63,Chocha perdiz (Scolopax rusticola),174
1,Lobo (Canis lupus),178
15,Perro (Canis lupus familiaris),178
0,Artrópodos (Filo: Arthropoda),179
90,Caballito del diablo (Lestes dryas Kirby o Lestes sponsa),179
91,Caballito del diablo (Platycnemis acutipennis Sélys),179
92,Hormiga (Lasius sp.),179
13,Paloma (Columba ssp),181
13,Paloma (Columba ssp),182
23,Urraca (Pica pica),182
0,Artrópodos (Filo: Arthropoda),187
93,Mariposa de la col (Pieris brassicae),187
94,Mosca (Eristalis cryptarum),187
95,Ortiguera (Aglais urticae),187
14,Caballo (Equus ferus caballus),190
65,Cisne vulgar (Cygnus olor),190
15,Perro (Canis lupus familiaris),190
10,Mono (Primates),191
15,Perro (Canis lupus familiaris),191
46,Gallo / gallina (Gallus gallus),197
15,Perro (Canis lupus familiaris),197
49,Guacamayo rojo (Ara chloroptera),198
96,Ánade real /Azulón (Anas platyrhynchos),199
65,Cisne vulgar (Cygnus olor),210
20,Garza (Ardea),210
21,Garza real (Ardea cinerea),210
0,Artrópodos (Filo: Arthropoda),212
97,Sátiro negro (Satyrus actaea),212
0,Artrópodos (Filo: Arthropoda),220
13,Paloma (Columba ssp),221
14,Caballo (Equus ferus caballus),226
3,Ciervo (Cervus elaphus),226
20,Garza (Ardea),226
21,Garza real (Ardea cinerea),226
6,Herrerillo común (Parus caeruleus),226
98,Perdiz roja (Alectoris rufa),226
15,Perro (Canis lupus familiaris),226
99,Pico picapinos (Dendrocopos major),226
96,Ánade real /Azulón (Anas platyrhynchos),226
0,Artrópodos (Filo: Arthropoda),229
100,Macaón (Papilio machaon),229
7,Jilguero (Carduelis carduelis),231
13,Paloma (Columba ssp),231
15,Perro (Canis lupus familiaris),233
14,Caballo (Equus ferus caballus),234
84,Gato (Felis silvestris catus),235
15,Perro (Canis lupus familiaris),235
96,Ánade real /Azulón (Anas platyrhynchos),235
46,Gallo / gallina (Gallus gallus),240
14,Caballo (Equus ferus caballus),246
13,Paloma (Columba ssp),247
19,Cuervo (Corvus corax),252
22,León (Panthera leo),252
14,Caballo (Equus ferus caballus),253
14,Caballo (Equus ferus caballus),258
0,Artrópodos (Filo: Arthropoda),265
74,Bogavante / hibricante / cabrajo (Homarus gammarus),265
101,Búho chico (Asio otus),265
28,Caballito del diablo (Platycnemis pennipes),265
77,Cangrejo de mar común (Carcinus maenas),265
39,Cangrejo de río (Astacus astacus),265
78,Carbonero común (Parus major),265
40,Centollo / cabra (Maja brachydactyla),265
3,Ciervo (Cervus elaphus),265
4,Cobaya común / Conejillo de Indias (Cavia porcelus),265
5,Conejo (Oryctolagus cuniculus),265
42,Faisán vulgar (Phasianus colchicus),265
20,Garza (Ardea),265
22,León (Panthera leo),265
1,Lobo (Canis lupus),265
87,Martín pescador (Alcedo atthis),265
102,Milano real (Milvus milvus),265
89,Negrón careto ( Melanitta perspicillata),265
13,Paloma (Columba ssp),265
52,Pavo real (Pavo cristatus),265
55,Pito real (Picus viridis),265
103,Polilla de cola amarilla (Euproctis similis),265
104,Ratón de campo (Apodemus sylvaticus),265
105,Saltamontes / Esperanzas (Tettigonia viridissima),265
13,Paloma (Columba ssp),273
10,Mono (Primates),275
0,Artrópodos (Filo: Arthropoda),276
93,Mariposa de la col (Pieris brassicae),276
60,Vulcana / atalanta /numerada (Vanessa atalanta),276
0,Artrópodos (Filo: Arthropoda),285
106,Blanquita de la col (Pieris rapae),285
107,Mariquita (Myzia oblongoguttata),285
108,Ondulada / maculada (Pararge aegeria),285
0,Artrópodos (Filo: Arthropoda),286
109,Blanca verdinervada (Pieris napi),286
106,Blanquita de la col (Pieris rapae),286
110,Mariquita de dos puntos (Adalia bipunctata),286
108,Ondulada / maculada (Pararge aegeria),286
0,Artrópodos (Filo: Arthropoda),287
93,Mariposa de la col (Pieris brassicae),287
76,Camachuelo (Pyrrhula pyrrhula),288
3,Ciervo (Cervus elaphus),288
65,Cisne vulgar (Cygnus olor),288
