PersonajesID,TituloID
0,1
0,4
1,4
2,9
0,9
1,9
3,10
4,12
0,12
5,15
0,15
1,15
6,18
7,19
8,19
5,20
0,20
1,20
9,28
10,30
5,32
11,32
12,32
0,32
4,33
0,33
1,33
13,34
14,34
0,35
1,35
15,36
16,41
17,41
18,41
4,42
19,42
0,42
12,43
20,51
21,51
22,51
20,53
22,53
0,54
1,54
0,55
23,56
24,58
4,59
25,59
26,59
12,59
27,59
0,59
1,59
0,60
0,63
1,63
17,66
28,66
29,68
1,68
4,71
19,71
0,71
1,71
20,72
22,72
30,74
31,74
32,77
33,86
0,89
1,89
34,92
20,95
22,95
35,96
36,96
37,96
38,96
39,96
15,96
40,96
41,96
42,96
43,96
0,96
44,98
45,98
46,101
3,101
20,101
47,101
48,103
49,103
20,103
50,107
51,107
52,107
0,107
53,108
4,110
12,110
0,110
54,114
55,116
4,117
26,117
12,117
0,117
56,118
57,118
28,119
58,119
17,121
28,121
4,122
25,122
26,122
12,122
27,122
0,122
1,122
0,123
1,123
4,124
26,124
12,124
0,124
59,125
4,128
1,128
60,129
6,131
0,131
60,132
4,138
61,138
15,138
62,138
29,138
0,138
63,139
51,139
29,139
64,139
0,139
13,141
0,146
0,147
1,147
65,148
26,149
66,149
0,149
67,150
1,150
64,152
68,155
69,157
1,157
4,160
0,160
0,168
1,168
4,169
6,169
16,170
17,170
18,170
17,171
49,171
60,171
70,171
4,173
26,173
0,173
1,173
53,175
71,176
72,176
73,176
74,176
4,179
75,179
26,179
0,179
5,181
0,181
1,181
0,187
53,188
76,190
77,190
26,191
4,195
75,195
26,195
0,195
76,197
77,197
13,198
14,198
1,200
0,201
1,201
78,203
1,203
79,205
53,208
20,209
22,209
76,210
80,214
1,214
81,216
5,221
0,221
1,221
82,226
20,228
18,229
4,231
35,231
30,231
19,231
11,231
26,231
0,231
1,231
83,233
64,233
84,235
29,235
0,237
1,237
4,238
19,238
0,238
1,238
53,240
20,244
22,244
5,247
0,247
1,247
0,249
1,249
4,250
0,250
30,252
31,252
28,253
85,253
56,253
49,253
86,253
87,253
88,255
89,260
36,261
0,261
1,261
13,269
14,269
53,270
5,273
0,273
0,276
4,277
29,277
4,278
0,278
1,278
43,279
20,280
22,280
36,281
0,281
1,281
0,285
4,286
0,286
90,288
0,290
91,291
4,293
15,293
29,293
0,293
49,294
5,295
0,295
1,295
92,296
64,296
0,296
26,299
0,308
1,308
93,310
94,310
95,310
96,310
1,317
4,319
5,319
2,319
97,324
98,324
99,324
37,327
5,331
0,331
1,331
53,338
6,339
5,341
0,341
1,341
5,343
0,344
1,344
4,346
100,346
12,346
15,346
66,346
27,346
0,346
33,348
4,350
55,351
70,352
18,354
101,354
28,355
32,355
18,355
102,356
103,357
4,358
23,360
104,362
105,362
106,362
107,362
4,362
108,362
92,362
64,362
109,362
0,362
110,363
1,364
28,367
85,367
56,367
49,367
86,367
87,367
111,370
53,373
6,374
1,374
112,375
41,376
1,376
0,378
0,379
113,382
4,384
26,384
0,384
4,385
1,385
0,386
1,386
13,387
14,387
114,388
115,390
18,390
58,390
116,390
117,390
100,391
66,391
0,391
0,393
1,393
4,395
35,395
26,395
0,395
114,396
64,396
109,396
0,396
1,398
20,399
4,400
6,400
118,400
0,400
67,401
28,403
85,403
56,403
49,403
86,403
87,403
100,404
66,404
0,404
4,405
75,405
26,405
0,405
115,406
18,406
58,406
116,406
117,406
109,408
26,410
66,410
0,410
4,413
0,413
60,415
37,417
4,420
12,420
0,420
23,421
12,423
4,425
26,425
0,425
1,425
4,427
25,427
26,427
12,427
27,427
0,427
1,427
5,429
0,429
1,429
17,431
18,431
37,435
12,438
64,439
4,444
6,444
1,444
60,445
20,447
22,447
56,450
119,450
120,450
17,451
28,451
121,451
120,451
30,452
31,452
1,456
53,461
122,463
123,463
4,466
26,466
0,466
72,468
73,468
74,468
0,470
4,471
12,471
0,472
97,475
98,475
99,475
4,477
19,477
0,477
1,477
124,479
4,483
26,483
0,483
1,483
0,484
4,485
6,485
125,488
67,489
64,492
109,492
28,493
126,495
4,497
0,497
5,498
0,498
18,501
6,502
0,503
4,504
25,504
26,504
12,504
27,504
0,504
1,504
4,505
68,506
60,507
4,508
6,508
60,509
56,510
119,510
120,510
37,511
1,511
127,512
5,514
0,514
1,514
128,517
15,517
41,517
0,517
5,518
2,518
0,518
4,519
26,519
0,519
1,519
114,520
23,521
0,527
1,527
129,528
130,528
131,528
29,528
64,528
19,532
1,532
4,533
4,535
6,535
65,536
4,539
26,539
0,539
1,539
0,540
132,543
4,545
26,546
66,546
0,546
5,549
0,549
1,549
115,550
18,550
58,550
116,550
117,550
53,551
1,555
133,557
4,558
26,558
43,560
0,562
97,565
98,565
99,565
0,567
18,569
115,571
18,571
58,571
116,571
117,571
85,573
134,575
20,576
22,576
4,579
4,581
89,581
43,581
1,581
69,583
85,585
4,586
26,586
0,586
135,587
4,588
26,588
0,588
4,589
26,589
1,589
97,590
98,590
99,590
60,592
4,593
25,593
26,593
12,593
27,593
0,593
1,593
5,595
0,595
1,595
66,599
0,599
0,600
66,603
0,603
0,606
1,606
114,615
136,616
28,621
83,622
0,622
1,622
4,623
6,623
53,624
49,628
26,631
1,631
4,632
26,632
12,632
0,632
26,634
114,635
1,635
113,636
1,637
137,638
5,639
0,639
138,640
26,645
4,647
26,647
0,647
0,649
1,649
4,652
0,652
