ObjetosID,TituloID
0,0
1,0
2,0
3,0
4,0
5,1
6,4
7,4
8,4
9,4
10,4
11,4
12,4
0,6
1,6
5,6
13,6
14,6
15,6
16,6
17,6
18,6
19,9
20,9
0,11
21,11
0,13
14,13
15,13
21,13
22,14
0,14
23,14
14,14
15,14
16,14
21,14
18,14
24,15
25,15
0,15
5,15
14,15
15,15
16,15
18,15
22,17
26,17
0,17
21,17
27,17
24,20
0,20
5,20
19,25
28,25
29,25
30,25
0,27
1,27
0,29
1,29
31,30
29,30
8,30
32,30
33,32
34,32
24,32
25,32
35,32
36,32
0,32
1,32
5,32
15,32
16,32
8,32
37,32
38,33
29,33
2,35
3,35
39,35
40,35
4,35
41,36
8,36
0,37
1,37
42,39
43,39
0,40
1,40
44,41
19,41
45,42
2,42
3,42
43,42
10,42
46,42
47,48
24,48
0,48
48,48
49,48
50,48
3,48
51,48
52,48
0,49
1,49
47,51
0,51
21,51
29,51
52,51
53,51
54,51
27,51
55,51
47,53
19,53
38,53
56,53
0,53
57,53
21,53
29,53
58,53
52,53
30,53
27,53
55,53
8,54
9,54
31,56
29,56
22,58
59,58
45,58
0,58
60,58
3,58
5,58
43,58
46,58
61,58
62,59
19,59
63,59
38,59
20,59
29,59
0,62
1,62
64,63
8,63
9,63
65,63
44,66
19,66
0,66
42,66
1,66
66,66
23,66
31,66
15,66
16,66
29,66
43,66
52,66
18,66
67,67
29,67
30,67
68,68
2,68
3,68
5,68
64,68
8,68
19,69
28,69
69,69
70,69
50,69
3,69
47,72
0,72
52,72
55,72
0,73
1,73
47,74
71,74
0,74
72,74
52,74
47,75
73,75
24,75
74,75
0,75
75,75
29,75
72,75
30,75
0,81
31,81
5,81
29,81
76,81
77,85
73,85
24,85
0,85
1,85
21,85
52,85
27,85
77,87
78,87
0,87
79,87
57,87
21,87
80,87
52,87
54,87
64,89
8,89
9,89
65,89
0,92
1,92
31,94
29,94
47,95
0,95
52,95
55,95
19,96
33,96
38,96
81,96
20,96
5,96
82,96
83,96
29,96
84,96
38,98
31,98
29,98
0,100
57,100
21,100
62,101
19,101
85,101
86,101
24,101
0,101
87,101
88,101
89,101
2,101
60,101
3,101
90,101
21,101
91,101
92,101
93,101
0,102
1,102
0,106
1,106
62,107
19,107
94,107
67,108
88,108
89,108
23,108
29,108
73,113
24,113
0,113
6,114
95,114
6,115
95,115
7,115
96,115
12,115
2,119
3,119
31,119
97,119
5,119
39,119
29,119
98,119
44,121
19,121
0,121
42,121
99,121
100,121
1,121
66,121
50,121
3,121
23,121
31,121
15,121
16,121
29,121
43,121
52,121
18,121
101,121
102,121
62,122
19,122
73,122
24,122
63,122
38,122
0,122
20,122
103,122
104,122
2,122
3,122
105,122
29,122
8,122
106,122
107,122
108,122
31,125
29,125
77,126
78,126
0,126
79,126
57,126
21,126
80,126
52,126
0,127
1,127
36,128
109,128
110,128
111,131
112,131
113,131
114,131
115,131
2,131
50,131
3,131
39,131
40,131
116,131
117,131
118,132
119,132
66,132
23,132
31,134
29,134
45,139
43,139
46,139
0,140
21,140
76,140
31,143
29,143
67,148
0,148
1,148
120,148
31,148
5,148
14,148
15,148
16,148
29,148
0,149
1,149
5,149
14,149
121,149
15,149
16,149
107,149
122,149
6,155
7,155
5,155
29,155
96,155
12,155
33,157
38,160
29,160
24,161
0,161
1,161
66,161
23,161
47,163
123,163
0,163
99,163
100,163
2,163
124,163
3,163
31,163
90,163
125,163
14,163
15,163
16,163
29,163
126,163
52,163
18,163
14,165
15,165
16,165
18,165
24,168
25,168
0,168
44,170
19,170
50,170
3,170
94,170
101,170
102,170
77,174
78,174
0,174
79,174
57,174
21,174
80,174
52,174
54,174
19,175
28,175
127,176
29,176
30,176
0,177
1,177
14,177
15,177
19,178
22,178
128,178
63,178
38,178
81,178
0,178
129,178
94,178
29,178
24,181
25,181
0,181
14,181
15,181
47,184
73,184
24,184
74,184
0,184
75,184
29,184
72,184
30,184
6,185
7,185
6,186
95,186
130,188
73,188
24,188
0,188
92,188
93,188
0,189
14,189
15,189
16,189
21,189
18,189
67,190
19,190
28,190
36,190
103,190
104,190
29,190
107,190
109,190
131,190
132,191
133,191
24,191
134,191
45,191
135,191
0,191
42,191
99,191
136,191
1,191
137,191
