FloraID,TituloID
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,3
0,3
10,3
11,3
12,3
13,3
5,3
6,3
7,4
14,5
11,5
5,5
15,5
16,6
0,7
10,7
12,7
13,7
5,7
6,7
17,8
5,9
18,10
19,10
20,11
21,11
22,11
23,11
18,11
2,11
5,11
7,12
24,13
25,13
8,14
7,15
0,16
7,16
26,17
27,17
8,17
28,18
0,18
10,18
18,18
29,18
30,18
12,18
2,18
13,18
31,18
5,18
15,18
6,18
17,19
7,20
32,21
28,21
0,21
5,21
6,21
32,22
0,22
10,22
24,22
0,23
10,23
18,23
5,23
33,23
0,24
10,24
12,24
2,24
3,24
13,24
5,24
6,24
34,25
10,26
30,26
3,26
5,26
6,26
10,27
11,27
35,27
36,27
2,27
37,27
5,27
33,27
17,28
38,29
39,29
40,29
41,29
42,29
5,29
15,29
34,30
21,31
39,31
43,31
44,31
7,32
42,33
45,34
46,34
7,35
7,36
47,37
0,37
14,37
48,37
10,37
49,37
18,37
50,37
51,37
24,37
12,37
13,37
42,37
52,37
53,37
5,37
54,38
55,39
56,39
57,39
17,39
0,40
22,40
2,40
58,40
8,41
5,42
2,43
13,43
0,44
10,44
12,44
13,44
5,44
6,44
59,45
21,46
60,46
0,46
14,46
10,46
37,46
5,46
6,46
10,47
5,47
5,48
32,49
47,49
0,49
22,49
50,49
29,49
30,49
12,49
40,49
2,49
61,49
41,49
13,49
42,49
52,49
6,49
9,50
18,50
50,50
8,51
8,52
62,53
63,53
8,53
7,54
7,55
5,56
55,57
10,58
5,58
5,59
64,60
21,60
0,60
7,60
22,60
10,60
49,60
11,60
65,60
66,60
29,60
30,60
24,60
12,60
40,60
2,60
37,60
3,60
13,60
4,60
58,60
5,60
15,60
6,60
21,61
60,61
39,61
0,61
10,61
24,61
13,61
67,61
5,61
6,61
21,62
60,62
0,62
49,62
35,62
50,62
5,62
7,63
54,63
5,63
0,64
10,64
11,64
30,64
2,64
5,64
6,64
10,65
18,66
2,66
13,66
5,66
39,67
11,67
37,67
42,67
5,68
68,69
69,70
5,71
8,72
32,73
0,73
23,73
24,73
40,73
2,73
3,73
13,73
5,73
6,73
17,74
5,75
9,76
0,76
22,76
49,76
35,76
29,76
30,76
12,76
40,76
2,76
37,76
13,76
4,76
5,76
15,76
6,76
18,77
50,77
13,77
68,78
21,79
70,79
24,79
71,79
53,79
5,79
46,80
72,81
73,82
59,83
9,84
10,84
35,84
5,84
21,85
28,85
0,85
7,85
10,85
18,85
50,85
30,85
40,85
2,85
3,85
13,85
4,85
5,85
15,85
33,85
6,85
74,85
57,86
75,87
76,87
19,87
73,87
21,88
0,88
10,88
11,88
24,88
2,88
5,88
6,88
7,89
54,89
5,89
21,90
32,90
39,90
28,90
7,90
23,90
11,90
66,90
24,90
40,90
2,90
37,90
5,90
33,90
0,91
3,91
5,91
6,91
22,92
3,92
5,92
6,92
2,93
13,93
5,94
8,95
2,96
32,97
38,97
70,97
40,97
37,97
77,97
4,97
5,97
6,97
5,98
14,99
6,99
36,100
5,101
6,101
0,102
78,102
62,102
30,102
24,102
2,102
13,102
6,102
39,103
62,103
8,103
8,104
7,105
5,105
11,106
24,106
79,106
5,106
15,106
6,106
5,107
27,108
36,109
5,109
32,110
0,110
7,110
48,110
11,110
18,110
80,110
70,110
30,110
24,110
12,110
2,110
37,110
13,110
4,110
5,110
15,110
6,110
81,111
10,111
30,111
13,111
5,111
82,112
80,113
5,114
68,115
18,116
7,117
21,118
32,118
9,118
60,118
0,118
14,118
10,118
35,118
50,118
24,118
40,118
83,118
3,118
31,118
4,118
5,118
6,118
57,119
69,120
18,121
2,121
13,121
5,121
5,122
7,123
5,123
62,124
63,124
84,124
85,124
5,125
75,126
76,126
19,126
73,126
21,127
0,127
10,127
11,127
24,127
12,127
2,127
3,127
13,127
6,127
7,128
10,128
21,129
9,129
0,129
14,129
10,129
11,129
16,129
30,129
24,129
12,129
40,129
13,129
52,129
5,129
21,130
10,130
11,130
29,130
30,130
24,130
12,130
13,130
5,130
6,130
7,131
32,132
9,132
0,132
7,132
86,132
22,132
10,132
23,132
50,132
66,132
80,132
51,132
30,132
12,132
2,132
3,132
13,132
4,132
58,132
5,132
15,132
